ZIP,OFFENSE-DESC,OFFENSE-DESC
78205,Larceny,728
78205,Obstruction of Justice,659
78205,Trespassing,603
78205,Assault,384
78205,Traffic Violation,223
78205,Family Violence,111
78205,Vandalism,97
78205,Weapon Violation,91
78205,Driving While Intoxicated,63
78205,Fraud,50
78205,Burglary Vehicle,44
78205,Aggravated Assault,42
78205,Threats,38
78205,Robbery Individual,32
78205,Theft of Vehicle,29
78205,Robbery Business,22
78205,Indecent Exposure,19
78205,Deadly Conduct,13
78205,Burglary Building,12
78205,Graffiti,12
78205,Prostitution,10
78205,Aggravated Family Violence,6
78205,Aggravated Robbery Individual,6
78205,Protective Order Violation,6
78205,Injury to a Child,5
78205,Kidnapping,4
78205,Sex Offender Violation,4
78205,Burglary Habitation,3
78205,Indecency/Obscenity,3
78205,Unauthorized Use of Motor Vehicle,3
78205,Intoxication Assault,2
78205,Aggravated Robbery Business,1
78205,Arson,1
78205,Injury to Elderly Person,1
78205,Sexual Assault,1
78207,Drug Arrest,5372
78207,TABC-Liquor Law Violation,4002
78207,Obstruction of Justice,1215
78207,Prostitution,883
78207,Trespassing,659
78207,Family Violence,481
78207,Panhandling,480
78207,Traffic Violation,394
78207,Weapon Violation,371
78207,Larceny,357
78207,Assault,245
78207,Aggravated Assault,120
78207,Vandalism,104
78207,Driving While Intoxicated,103
78207,Theft of Vehicle,73
78207,Deadly Conduct,67
78207,Fraud,61
78207,Aggravated Family Violence,52
78207,Burglary Vehicle,51
78207,Threats,48
78207,Aggravated Robbery Individual,45
78207,Indecent Exposure,38
78207,Unauthorized Use of Motor Vehicle,33
78207,Burglary Habitation,32
78207,Robbery Individual,23
78207,Injury to Elderly Person,22
78207,Protective Order Violation,22
78207,Injury to a Child,21
78207,Burglary Building,20
78207,Aggravated Robbery Business,18
78207,Graffiti,14
78207,Sexual Assault,11
78207,Robbery Business,7
78207,Arson,5
78207,Kidnapping,4
78207,Aggravated Sexual Assault,3
78207,Indecency/Obscenity,2
78207,Manslaughter,2
78207,Capital Murder,1
78207,Indecency with a Child,1
78207,Intoxication Assault,1
78207,Sex Offender Violation,1
78208,Drug Arrest,177
78208,TABC-Liquor Law Violation,71
78208,Obstruction of Justice,65
78208,Family Violence,40
78208,Traffic Violation,28
78208,Weapon Violation,23
78208,Trespassing,21
78208,Driving While Intoxicated,19
78208,Panhandling,17
78208,Burglary Vehicle,10
78208,Aggravated Assault,9
78208,Larceny,9
78208,Assault,7
78208,Prostitution,7
78208,Aggravated Family Violence,6
78208,Burglary Building,5
78208,Vandalism,4
78208,Deadly Conduct,3
78208,Fraud,3
78208,Threats,3
78208,Burglary Habitation,2
78208,Theft of Vehicle,2
78208,Aggravated Sexual Assault,1
78208,Arson,1
78208,Injury to a Child,1
78208,VICE Violation,1
78209,Drug Arrest,537
78209,Larceny,432
78209,TABC-Liquor Law Violation,201
78209,Obstruction of Justice,107
78209,Family Violence,93
78209,Trespassing,68
78209,Weapon Violation,57
78209,Driving While Intoxicated,50
78209,Traffic Violation,49
78209,Fraud,47
78209,Panhandling,32
78209,Assault,25
78209,Unauthorized Use of Motor Vehicle,17
78209,Aggravated Assault,15
78209,Aggravated Robbery Individual,13
78209,Aggravated Family Violence,10
78209,Protective Order Violation,10
78209,Burglary Vehicle,9
78209,Indecent Exposure,9
78209,Robbery Business,9
78209,Threats,9
78209,Vandalism,9
78209,Theft of Vehicle,7
78209,Aggravated Robbery Business,6
78209,Deadly Conduct,5
78209,Injury to a Child,5
78209,Burglary Building,4
78209,Burglary Habitation,4
78209,Prostitution,4
78209,Injury to Elderly Person,3
78209,Robbery Individual,3
78209,Sexual Assault,2
78209,Arson,1
78209,Kidnapping,1
78209,Manslaughter,1
78209,Murder,1
78209,Stalking,1
78210,Drug Arrest,1618
78210,TABC-Liquor Law Violation,377
78210,Obstruction of Justice,307
78210,Family Violence,275
78210,Prostitution,269
78210,Weapon Violation,150
78210,Trespassing,120
78210,Traffic Violation,118
78210,Aggravated Assault,67
78210,Larceny,59
78210,Assault,58
78210,Vandalism,43
78210,Deadly Conduct,40
78210,Aggravated Family Violence,36
78210,Fraud,34
78210,Driving While Intoxicated,32
78210,Burglary Vehicle,22
78210,Theft of Vehicle,18
78210,Threats,18
78210,Burglary Habitation,17
78210,Injury to a Child,16
78210,Panhandling,16
78210,Robbery Individual,12
78210,Unauthorized Use of Motor Vehicle,12
78210,Protective Order Violation,10
78210,Burglary Building,9
78210,Injury to Elderly Person,8
78210,Aggravated Robbery Individual,4
78210,Graffiti,4
78210,Sexual Assault,4
78210,Indecency with a Child,3
78210,Intoxication Assault,3
78210,Kidnapping,3
78210,Robbery Business,2
78210,Aggravated Robbery Business,1
78210,Aggravated Sexual Assault,1
78210,Arson,1
78210,Indecent Exposure,1
78211,Drug Arrest,1165
78211,Larceny,264
78211,Family Violence,257
78211,Obstruction of Justice,246
78211,TABC-Liquor Law Violation,204
78211,Traffic Violation,102
78211,Weapon Violation,102
78211,Trespassing,47
78211,Assault,46
78211,Vandalism,46
78211,Prostitution,43
78211,Deadly Conduct,37
78211,Driving While Intoxicated,35
78211,Aggravated Assault,33
78211,Fraud,31
78211,Theft of Vehicle,31
78211,Threats,20
78211,Aggravated Family Violence,18
78211,Burglary Vehicle,17
78211,Panhandling,15
78211,Injury to Elderly Person,13
78211,Robbery Individual,12
78211,Burglary Building,11
78211,Unauthorized Use of Motor Vehicle,11
78211,Protective Order Violation,10
78211,Aggravated Robbery Business,6
78211,Manslaughter,6
78211,Burglary Habitation,4
78211,Injury to a Child,4
78211,Aggravated Robbery Individual,3
78211,Murder,3
78211,Arson,2
78211,Graffiti,2
78211,Indecency with a Child,2
78211,Intoxication Assault,2
78211,Kidnapping,2
78211,Aggravated Sexual Assault,1
78211,Indecent Exposure,1
78211,Robbery Business,1
78212,Drug Arrest,1306
78212,TABC-Liquor Law Violation,1135
78212,Obstruction of Justice,326
78212,Trespassing,271
78212,Panhandling,270
78212,Family Violence,162
78212,Larceny,156
78212,Assault,127
78212,Traffic Violation,123
78212,Prostitution,115
78212,Driving While Intoxicated,96
78212,Weapon Violation,94
78212,Vandalism,64
78212,Fraud,39
78212,Aggravated Assault,25
78212,Theft of Vehicle,22
78212,Threats,18
78212,Aggravated Family Violence,17
78212,Deadly Conduct,17
78212,Aggravated Robbery Individual,16
78212,Burglary Vehicle,16
78212,Burglary Habitation,14
78212,Burglary Building,13
78212,Unauthorized Use of Motor Vehicle,12
78212,Indecent Exposure,10
78212,Protective Order Violation,10
78212,Graffiti,7
78212,Aggravated Robbery Business,6
78212,Arson,6
78212,Injury to Elderly Person,5
78212,Injury to a Child,4
78212,Robbery Business,4
78212,Sexual Assault,4
78212,Capital Murder,3
78212,Robbery Individual,3
78212,Murder,2
78212,Aggravated Sexual Assault,1
78212,Intoxication Assault,1
78213,Drug Arrest,959
78213,Larceny,532
78213,TABC-Liquor Law Violation,388
78213,Family Violence,236
78213,Obstruction of Justice,202
78213,Weapon Violation,148
78213,Panhandling,109
78213,Trespassing,57
78213,Driving While Intoxicated,54
78213,Assault,53
78213,Traffic Violation,50
78213,Aggravated Assault,36
78213,Vandalism,34
78213,Fraud,30
78213,Aggravated Family Violence,25
78213,Theft of Vehicle,16
78213,Threats,14
78213,Injury to a Child,13
78213,Aggravated Robbery Individual,12
78213,Protective Order Violation,11
78213,Unauthorized Use of Motor Vehicle,10
78213,Burglary Habitation,9
78213,Burglary Vehicle,9
78213,Deadly Conduct,8
78213,Prostitution,8
78213,Robbery Business,6
78213,Graffiti,5
78213,Arson,4
78213,Sexual Assault,3
78213,Aggravated Robbery Business,2
78213,Indecency/Obscenity,2
78213,Intoxication Assault,2
78213,Murder,2
78213,Robbery Individual,2
78213,Burglary Building,1
78213,Indecency with a Child,1
78213,Indecent Exposure,1
78213,Injury to Elderly Person,1
78214,Drug Arrest,930
78214,TABC-Liquor Law Violation,272
78214,Obstruction of Justice,206
78214,Family Violence,195
78214,Larceny,126
78214,Weapon Violation,94
78214,Traffic Violation,72
78214,Assault,54
78214,Trespassing,52
78214,Aggravated Assault,42
78214,Vandalism,27
78214,Aggravated Family Violence,24
78214,Burglary Habitation,22
78214,Deadly Conduct,22
78214,Threats,22
78214,Driving While Intoxicated,21
78214,Indecent Exposure,21
78214,Theft of Vehicle,18
78214,VICE Violation,16
78214,Protective Order Violation,13
78214,Injury to a Child,12
78214,Burglary Vehicle,10
78214,Unauthorized Use of Motor Vehicle,9
78214,Burglary Building,8
78214,Injury to Elderly Person,8
78214,Fraud,6
78214,Panhandling,5
78214,Prostitution,5
78214,Aggravated Robbery Individual,4
78214,Graffiti,4
78214,Robbery Individual,3
78214,Murder,2
78214,Aggravated Robbery Business,1
78214,Intoxication Assault,1
78214,Robbery Business,1
78215,TABC-Liquor Law Violation,628
78215,Drug Arrest,504
78215,Panhandling,168
78215,Trespassing,111
78215,Obstruction of Justice,90
78215,Weapon Violation,37
78215,Traffic Violation,32
78215,Larceny,31
78215,Family Violence,28
78215,Assault,21
78215,Driving While Intoxicated,20
78215,Prostitution,12
