ZIP,OFFENSE-DESC,OFFENSE-DESC
78228,Driving While Intoxicated,49
78228,Aggravated Family Violence,42
78228,Theft of Vehicle,41
78228,Protective Order Violation,32
78228,Burglary Habitation,30
78228,Threats,30
78228,Deadly Conduct,27
78228,Prostitution,26
78228,Unauthorized Use of Motor Vehicle,23
78228,Injury to a Child,20
78228,Burglary Building,18
78228,Injury to Elderly Person,17
78228,Burglary Vehicle,15
78228,Arson,11
78228,Sexual Assault,10
78228,Aggravated Robbery Individual,9
78228,Capital Murder,6
78228,Graffiti,5
78228,Kidnapping,4
78228,Robbery Business,4
78228,Robbery Individual,4
78228,Indecent Exposure,3
78228,Aggravated Sexual Assault,2
78228,Indecency with a Child,2
78228,Manslaughter,2
78228,Murder,2
78228,Aggravated Robbery Business,1
78228,Indecency/Obscenity,1
78228,Intoxication Assault,1
78229,Drug Arrest,1332
78229,TABC-Liquor Law Violation,330
78229,Panhandling,323
78229,Larceny,259
78229,Obstruction of Justice,237
78229,Family Violence,221
78229,Driving While Intoxicated,116
78229,Weapon Violation,115
78229,Traffic Violation,110
78229,Assault,78
78229,Fraud,78
78229,Trespassing,77
78229,Theft of Vehicle,46
78229,Burglary Vehicle,45
78229,Vandalism,41
78229,Aggravated Assault,32
78229,Aggravated Family Violence,29
78229,Burglary Habitation,28
78229,Prostitution,22
78229,Unauthorized Use of Motor Vehicle,20
78229,Injury to a Child,19
78229,Threats,19
78229,Aggravated Robbery Individual,17
78229,Burglary Building,13
78229,Deadly Conduct,11
78229,Protective Order Violation,10
78229,Arson,5
78229,Injury to Elderly Person,5
78229,Kidnapping,5
78229,Robbery Individual,5
78229,Sexual Assault,5
78229,Indecent Exposure,4
78229,Indecency with a Child,2
78229,Graffiti,1
78229,Stalking,1
78230,Drug Arrest,836
78230,Panhandling,389
78230,Larceny,356
78230,TABC-Liquor Law Violation,229
78230,Obstruction of Justice,179
78230,Family Violence,137
78230,Driving While Intoxicated,100
78230,Traffic Violation,84
78230,Fraud,83
78230,Weapon Violation,77
78230,Burglary Vehicle,60
78230,Aggravated Assault,58
78230,Trespassing,42
78230,Assault,32
78230,Vandalism,28
78230,Prostitution,22
78230,Theft of Vehicle,20
78230,Unauthorized Use of Motor Vehicle,17
78230,Aggravated Family Violence,16
78230,Threats,11
78230,Aggravated Robbery Individual,10
78230,Burglary Habitation,10
78230,Burglary Building,9
78230,Deadly Conduct,7
78230,Injury to a Child,6
78230,Murder,6
78230,Robbery Individual,6
78230,Manslaughter,4
78230,Protective Order Violation,4
78230,Aggravated Robbery Business,3
78230,Arson,3
78230,Injury to Elderly Person,3
78230,Graffiti,2
78230,Kidnapping,2
78230,Sexual Assault,2
78230,Aggravated Sexual Assault,1
78230,Robbery Business,1
78230,Stalking,1
78231,Panhandling,69
78231,Drug Arrest,48
78231,TABC-Liquor Law Violation,14
78231,Obstruction of Justice,8
78231,Family Violence,7
78231,Driving While Intoxicated,6
78231,Vandalism,4
78231,Assault,3
78231,Theft of Vehicle,3
78231,Traffic Violation,3
78231,Trespassing,3
78231,Aggravated Family Violence,2
78231,Indecent Exposure,2
78231,Weapon Violation,2
78231,Aggravated Assault,1
78231,Deadly Conduct,1
78231,Fraud,1
78231,Injury to Elderly Person,1
78231,Larceny,1
78231,Prostitution,1
78231,Threats,1
78232,Drug Arrest,356
78232,Larceny,140
78232,Family Violence,86
78232,Panhandling,85
78232,TABC-Liquor Law Violation,65
78232,Obstruction of Justice,53
78232,Fraud,31
78232,Trespassing,31
78232,Driving While Intoxicated,26
78232,Traffic Violation,25
78232,Weapon Violation,19
78232,Assault,16
78232,Aggravated Family Violence,13
78232,Theft of Vehicle,11
78232,Vandalism,11
78232,Aggravated Robbery Business,10
78232,Injury to Elderly Person,8
78232,Robbery Business,7
78232,Burglary Building,6
78232,Prostitution,6
78232,Aggravated Assault,5
78232,Burglary Habitation,4
78232,Burglary Vehicle,4
78232,Deadly Conduct,4
78232,Unauthorized Use of Motor Vehicle,4
78232,Injury to a Child,3
78232,Intoxication Assault,3
78232,Protective Order Violation,3
78232,Threats,3
78232,Arson,2
78232,Robbery Individual,2
78232,Sexual Assault,2
78232,Aggravated Robbery Individual,1
78232,Indecency with a Child,1
78232,Kidnapping,1
78233,Drug Arrest,724
78233,Family Violence,205
78233,TABC-Liquor Law Violation,202
78233,Obstruction of Justice,151
78233,Larceny,116
78233,Weapon Violation,81
78233,Trespassing,71
78233,Traffic Violation,52
78233,Panhandling,51
78233,Driving While Intoxicated,49
78233,Fraud,49
78233,Assault,30
78233,Aggravated Assault,28
78233,Vandalism,28
78233,Theft of Vehicle,26
78233,Burglary Vehicle,22
78233,Aggravated Family Violence,21
78233,Burglary Building,18
78233,Deadly Conduct,18
78233,Threats,13
78233,Burglary Habitation,11
78233,Aggravated Robbery Individual,9
78233,Injury to Elderly Person,9
78233,Protective Order Violation,7
78233,Unauthorized Use of Motor Vehicle,7
78233,Aggravated Robbery Business,5
78233,Robbery Business,5
78233,Robbery Individual,5
78233,Injury to a Child,4
78233,Manslaughter,4
78233,Kidnapping,2
78233,Aggravated Sexual Assault,1
78233,Graffiti,1
78233,Indecent Exposure,1
78233,Intoxication Assault,1
78233,Prostitution,1
78233,Sexual Assault,1
78234,Drug Arrest,9
78234,Family Violence,4
78234,TABC-Liquor Law Violation,3
78234,Assault,2
78234,Aggravated Family Violence,1
78234,Larceny,1
78234,Obstruction of Justice,1
78234,Threats,1
78234,Vandalism,1
78235,Larceny,115
78235,Drug Arrest,30
78235,TABC-Liquor Law Violation,15
78235,Obstruction of Justice,14
78235,Trespassing,9
78235,Family Violence,8
78235,Assault,7
78235,Fraud,7
78235,Aggravated Family Violence,3
78235,Aggravated Assault,2
78235,Driving While Intoxicated,2
78235,Traffic Violation,2
78235,Vandalism,2
78235,Burglary Habitation,1
78235,Burglary Vehicle,1
78235,Robbery Business,1
78236,Drug Arrest,14
78236,Obstruction of Justice,5
78236,Burglary Building,1
78236,Driving While Intoxicated,1
78236,Larceny,1
78236,Weapon Violation,1
78237,Drug Arrest,1353
78237,TABC-Liquor Law Violation,356
78237,Larceny,349
78237,Family Violence,321
78237,Obstruction of Justice,306
78237,Weapon Violation,141
78237,Trespassing,128
78237,Prostitution,112
78237,Traffic Violation,105
78237,Assault,72
78237,Vandalism,47
78237,Aggravated Assault,43
78237,Aggravated Family Violence,42
78237,Driving While Intoxicated,37
78237,Theft of Vehicle,36
78237,Fraud,27
78237,Threats,24
78237,Burglary Habitation,23
78237,Burglary Vehicle,19
78237,Burglary Building,17
78237,Aggravated Robbery Individual,16
78237,Deadly Conduct,16
78237,Injury to a Child,16
78237,Unauthorized Use of Motor Vehicle,13
78237,Injury to Elderly Person,11
78237,Robbery Individual,11
78237,Panhandling,10
78237,Protective Order Violation,8
78237,Robbery Business,7
78237,Murder,5
78237,Aggravated Robbery Business,4
78237,Indecent Exposure,4
78237,Sexual Assault,3
78237,Indecency with a Child,2
78237,Kidnapping,2
78237,Aggravated Sexual Assault,1
78237,Graffiti,1
78237,Sex Offender Violation,1
78238,Larceny,761
78238,Drug Arrest,722
78238,TABC-Liquor Law Violation,207
78238,Panhandling,173
78238,Obstruction of Justice,149
78238,Family Violence,126
78238,Weapon Violation,91
78238,Traffic Violation,85
78238,Assault,58
78238,Trespassing,51
78238,Driving While Intoxicated,50
78238,Fraud,32
78238,Vandalism,29
78238,Aggravated Assault,22
78238,Deadly Conduct,22
78238,Burglary Vehicle,21
78238,Theft of Vehicle,21
78238,Aggravated Robbery Individual,16
78238,Robbery Business,15
78238,Aggravated Family Violence,14
78238,Injury to a Child,12
78238,Protective Order Violation,11
78238,Unauthorized Use of Motor Vehicle,11
78238,Threats,10
78238,Graffiti,8
78238,Injury to Elderly Person,8
78238,Prostitution,8
78238,Robbery Individual,7
78238,Aggravated Robbery Business,3
78238,Burglary Building,3
78238,Burglary Habitation,3
78238,Intoxication Assault,3
78238,Capital Murder,2
78238,Murder,2
78239,Drug Arrest,100
78239,Larceny,33
78239,Family Violence,32
78239,Obstruction of Justice,20
78239,TABC-Liquor Law Violation,18
78239,Panhandling,11
78239,Assault,10
78239,Trespassing,9
78239,Traffic Violation,7
78239,Aggravated Assault,5
78239,Aggravated Family Violence,4
78239,Vandalism,4
78239,Weapon Violation,4
78239,Burglary Vehicle,3
78239,Deadly Conduct,3
78239,Fraud,3
78239,Unauthorized Use of Motor Vehicle,3
78239,Driving While Intoxicated,2
78239,Robbery Business,2
78239,Sexual Assault,2
78239,Burglary Habitation,1
78239,Protective Order Violation,1
78239,Theft of Vehicle,1
78239,Threats,1
78240,Drug Arrest,557
78240,Family Violence,254
78240,Larceny,240
78240,TABC-Liquor Law Violation,227
78240,Obstruction of Justice,132
78240,Traffic Violation,58
78240,Driving While Intoxicated,57
78240,Assault,53
78240,Panhandling,50
78240,Trespassing,50
78240,Weapon Violation,44
78240,Aggravated Assault,36
78240,Aggravated Family Violence,27
78240,Vandalism,27
78240,Threats,20
78240,Fraud,19
78240,Theft of Vehicle,17
78240,Burglary Vehicle,14
78240,Protective Order Violation,11
78240,Aggravated Robbery Individual,9
78240,Prostitution,9
78240,Burglary Habitation,8
78240,Deadly Conduct,6
78240,Indecent Exposure,6
78240,Injury to a Child,6
78240,Graffiti,5
78240,Robbery Individual,4
78240,Stalking,4
78240,Unauthorized Use of Motor Vehicle,3
78240,Aggravated Sexual Assault,2
78240,Indecency with a Child,2
78240,Injury to Elderly Person,2
78240,Robbery Business,2
78240,Sexual Assault,2
78240,Aggravated Robbery Business,1
78240,Kidnapping,1
78241,Drug Arrest,6
78241,Larceny,3
78241,TABC-Liquor Law Violation,3
78241,Burglary Vehicle,2
78241,Traffic Violation,2
78242,Drug Arrest,762
78242,Family Violence,195
78242,Obstruction of Justice,146
78242,TABC-Liquor Law Violation,131
78242,Weapon Violation,85
78242,Larceny,44
78242,Traffic Violation,38
78242,Aggravated Assault,30
78242,Assault,30
78242,Theft of Vehicle,30
78242,Vandalism,27
78242,Deadly Conduct,25
78242,Aggravated Family Violence,22
78242,Driving While Intoxicated,17
78242,Trespassing,17
78242,Unauthorized Use of Motor Vehicle,12
78242,Burglary Habitation,10
78242,Fraud,10
78242,Aggravated Robbery Individual,9
78242,Panhandling,8
78242,Threats,8
78242,Protective Order Violation,7
78242,Burglary Vehicle,5
78242,Robbery Individual,5
78242,Indecency with a Child,4
78242,Injury to Elderly Person,4
78242,Sexual Assault,4
78242,Prostitution,3
78242,Aggravated Robbery Business,2
78242,Burglary Building,2
78242,Injury to a Child,2
78242,Robbery Business,2
78242,Aggravated Sexual Assault,1
78242,Graffiti,1
78242,Manslaughter,1
78242,Murder,1
78244,Drug Arrest,117
78244,Larceny,113
78244,TABC-Liquor Law Violation,44
78244,Family Violence,41
78244,Obstruction of Justice,27
78244,Traffic Violation,21
78244,Weapon Violation,20
78244,Trespassing,11
78244,Fraud,8
78244,Vandalism,8
78244,Assault,7
78244,Aggravated Family Violence,6
78244,Driving While Intoxicated,5
78244,Prostitution,4
78244,Protective Order Violation,4
78244,Threats,4
78244,Aggravated Assault,3
78244,Burglary Habitation,3
78244,Burglary Vehicle,3
78244,Deadly Conduct,3
78244,Robbery Individual,3
78244,Theft of Vehicle,2
78244,Unauthorized Use of Motor Vehicle,2
78244,Aggravated Robbery Individual,1
78244,Aggravated Sexual Assault,1
78244,Injury to a Child,1
78244,Sexual Assault,1
78244,Stalking,1
78245,Larceny,1273
78245,Drug Arrest,589
78245,TABC-Liquor Law Violation,152
78245,Family Violence,132
78245,Obstruction of Justice,107
78245,Panhandling,77
78245,Weapon Violation,70
78245,Trespassing,54
78245,Fraud,46
78245,Assault,39
78245,Traffic Violation,37
78245,Aggravated Assault,36
78245,Aggravated Family Violence,18
78245,Theft of Vehicle,18
78245,Vandalism,18
78245,Driving While Intoxicated,14
78245,Burglary Building,10
78245,Burglary Habitation,10
78245,Threats,10
78245,Injury to a Child,8
78245,Burglary Vehicle,7
78245,Indecent Exposure,6
78245,Protective Order Violation,6
78245,Robbery Individual,6
78245,Deadly Conduct,5
78245,Aggravated Robbery Individual,4
78245,Prostitution,4
78245,Unauthorized Use of Motor Vehicle,4
78245,Injury to Elderly Person,3
78245,Arson,2
78245,Robbery Business,2
78245,Aggravated Robbery Business,1
78245,Aggravated Sexual Assault,1
78245,Graffiti,1
78245,Indecency with a Child,1
78245,Kidnapping,1
78245,Sexual Assault,1
78245,Stalking,1
78247,Drug Arrest,339
78247,Larceny,161
78247,TABC-Liquor Law Violation,126
78247,Family Violence,123
78247,Obstruction of Justice,70
78247,Traffic Violation,43
78247,Trespassing,36
78247,Weapon Violation,34
78247,Driving While Intoxicated,24
78247,Fraud,22
78247,Assault,20
78247,Panhandling,17
78247,Burglary Vehicle,16
78247,Aggravated Assault,14
78247,Vandalism,14
78247,Aggravated Family Violence,13
78247,Burglary Building,10
78247,Deadly Conduct,9
78247,Protective Order Violation,9
78247,Theft of Vehicle,8
78247,Indecent Exposure,6
78247,Injury to Elderly Person,5
78247,Threats,5
78247,Aggravated Robbery Individual,3
78247,Unauthorized Use of Motor Vehicle,3
78247,Injury to a Child,2
78247,Intoxication Assault,2
78247,Aggravated Robbery Business,1
78247,Indecency with a Child,1
78247,Kidnapping,1
78247,Manslaughter,1
78247,Sexual Assault,1
78248,Larceny,58
78248,Drug Arrest,51
78248,Panhandling,30
78248,TABC-Liquor Law Violation,16
78248,Family Violence,15
78248,Unauthorized Use of Motor Vehicle,6
78248,Aggravated Family Violence,5
78248,Fraud,5
78248,Trespassing,5
78248,Obstruction of Justice,4
78248,Deadly Conduct,3
78248,Driving While Intoxicated,3
78248,Protective Order Violation,3
78248,Vandalism,3
78248,Prostitution,2
78248,Robbery Business,2
78248,Aggravated Robbery Business,1
78248,Assault,1
78248,Burglary Vehicle,1
78248,Traffic Violation,1
78249,Drug Arrest,779
78249,Panhandling,521
78249,Larceny,452
78249,TABC-Liquor Law Violation,336
78249,Obstruction of Justice,124
78249,Family Violence,120
78249,Driving While Intoxicated,91
78249,Traffic Violation,81
78249,Assault,49
78249,Weapon Violation,49
78249,Fraud,32
78249,Trespassing,32
78249,Vandalism,31
78249,Theft of Vehicle,22
78249,Aggravated Family Violence,17
78249,Burglary Vehicle,17
78249,Unauthorized Use of Motor Vehicle,16
78249,Aggravated Robbery Business,15
78249,Aggravated Assault,13
78249,Aggravated Robbery Individual,13
78249,Threats,12
78249,Burglary Habitation,10
78249,Robbery Business,9
78249,Injury to a Child,8
78249,Robbery Individual,7
78249,Deadly Conduct,4
78249,Graffiti,4
78249,Burglary Building,3
78249,Injury to Elderly Person,2
78249,Kidnapping,2
78249,Prostitution,2
78249,Protective Order Violation,2
78249,Arson,1
78249,Indecent Exposure,1
78249,Manslaughter,1
78249,Sex Offender Violation,1
78249,Stalking,1
78250,Drug Arrest,284
78250,Family Violence,165
78250,Larceny,160
78250,TABC-Liquor Law Violation,130
78250,Obstruction of Justice,66
78250,Weapon Violation,38
78250,Trespassing,32
78250,Assault,30
78250,Traffic Violation,26
78250,Aggravated Family Violence,21
78250,Vandalism,19
78250,Driving While Intoxicated,18
78250,Panhandling,14
78250,Deadly Conduct,13
78250,Protective Order Violation,13
78250,Aggravated Robbery Individual,12
78250,Burglary Habitation,8
78250,Burglary Vehicle,8
78250,Fraud,8
78250,Aggravated Assault,7
78250,Theft of Vehicle,7
78250,Injury to Elderly Person,5
78250,Injury to a Child,5
78250,Threats,5
78250,Aggravated Robbery Business,4
78250,Robbery Business,4
78250,Burglary Building,3
78250,Capital Murder,2
78250,Graffiti,2
78250,Indecent Exposure,2
78250,Stalking,2
78250,Intoxication Assault,1
78250,Kidnapping,1
78250,Robbery Individual,1
78250,Sexual Assault,1
78250,Unauthorized Use of Motor Vehicle,1
78251,Drug Arrest,546
78251,TABC-Liquor Law Violation,230
78251,Panhandling,194
78251,Larceny,189
78251,Family Violence,180
78251,Obstruction of Justice,118
78251,Traffic Violation,65
78251,Aggravated Robbery Individual,60
78251,Weapon Violation,56
78251,Assault,43
78251,Trespassing,42
78251,Driving While Intoxicated,39
78251,Aggravated Assault,37
78251,Fraud,35
78251,Aggravated Family Violence,33
78251,Vandalism,32
78251,Burglary Vehicle,19
78251,Protective Order Violation,16
78251,Theft of Vehicle,16
78251,Deadly Conduct,11
78251,Threats,11
78251,Robbery Individual,9
78251,Injury to a Child,7
78251,Robbery Business,7
78251,Unauthorized Use of Motor Vehicle,6
78251,Graffiti,5
78251,Sexual Assault,5
78251,Aggravated Robbery Business,4
78251,Kidnapping,4
78251,Prostitution,4
78251,Burglary Building,3
78251,Burglary Habitation,2
78251,Injury to Elderly Person,2
78251,Intoxication Assault,2
78251,Manslaughter,2
78251,Aggravated Sexual Assault,1
78251,Indecency with a Child,1
78251,Stalking,1
78252,Larceny,367
78252,Drug Arrest,76
78252,Fraud,21
78252,Obstruction of Justice,17
78252,Family Violence,16
78252,TABC-Liquor Law Violation,11
78252,Trespassing,11
78252,Aggravated Assault,9
78252,Assault,9
78252,Aggravated Family Violence,5
78252,Theft of Vehicle,5
78252,Traffic Violation,4
78252,Weapon Violation,3
78252,Injury to a Child,2
78252,Burglary Vehicle,1
78252,Injury to Elderly Person,1
78252,Panhandling,1
78252,Protective Order Violation,1
78252,Vandalism,1
78253,Larceny,171
78253,Drug Arrest,56
78253,Panhandling,47
78253,TABC-Liquor Law Violation,25
78253,Obstruction of Justice,20
78253,Family Violence,9
78253,Burglary Building,8
78253,Traffic Violation,5
78253,Trespassing,5
78253,Aggravated Family Violence,3
78253,Driving While Intoxicated,3
78253,Aggravated Assault,2
78253,Assault,2
78253,Fraud,2
78253,Vandalism,2
78253,Injury to Elderly Person,1
78253,Injury to a Child,1
78253,Manslaughter,1
78253,Murder,1
78254,Larceny,164
78254,Drug Arrest,102
78254,Family Violence,68
78254,TABC-Liquor Law Violation,46
78254,Obstruction of Justice,33
78254,Panhandling,30
78254,Assault,16
78254,Driving While Intoxicated,15
78254,Trespassing,12
78254,Traffic Violation,11
78254,Aggravated Assault,9
78254,Threats,8
78254,Aggravated Family Violence,6
78254,Fraud,6
78254,Vandalism,6
78254,Weapon Violation,5
78254,Deadly Conduct,4
78254,Burglary Vehicle,3
78254,Burglary Habitation,2
78254,Injury to Elderly Person,2
78254,Manslaughter,2
78254,Unauthorized Use of Motor Vehicle,2
78254,Graffiti,1
78254,Indecency with a Child,1
78254,Protective Order Violation,1
78254,Robbery Business,1
78254,Robbery Individual,1
78254,Theft of Vehicle,1
78255,Panhandling,15
78255,Drug Arrest,14
78255,Family Violence,9
78255,Larceny,9
78255,TABC-Liquor Law Violation,7
78255,Driving While Intoxicated,3
78255,Aggravated Assault,2
78255,Aggravated Family Violence,2
78255,Fraud,2
78255,Weapon Violation,2
78255,Assault,1
78255,Protective Order Violation,1
78255,Trespassing,1
78255,Vandalism,1
78256,Larceny,188
78256,Drug Arrest,169
78256,Panhandling,58
78256,TABC-Liquor Law Violation,58
78256,Obstruction of Justice,36
78256,Family Violence,35
78256,Assault,20
78256,Trespassing,17
78256,Fraud,12
78256,Vandalism,11
78256,Burglary Vehicle,8
78256,Unauthorized Use of Motor Vehicle,8
78256,Sexual Assault,6
78256,Traffic Violation,6
78256,Weapon Violation,6
78256,Driving While Intoxicated,5
78256,Aggravated Robbery Individual,4
78256,Robbery Business,4
78256,Theft of Vehicle,4
78256,Aggravated Family Violence,3
78256,Aggravated Assault,2
78256,Threats,2
78256,Burglary Building,1
78256,Burglary Habitation,1
78256,Indecent Exposure,1
78256,Injury to Elderly Person,1
78256,Injury to a Child,1
78257,Drug Arrest,106
78257,Larceny,98
78257,Panhandling,73
78257,TABC-Liquor Law Violation,52
78257,Obstruction of Justice,28
78257,Driving While Intoxicated,16
78257,Traffic Violation,14
78257,Weapon Violation,14
78257,Fraud,13
78257,Family Violence,9
78257,Trespassing,8
78257,Burglary Vehicle,7
78257,Assault,6
78257,Vandalism,5
78257,Aggravated Assault,3
78257,Aggravated Family Violence,3
78257,Theft of Vehicle,3
78257,Unauthorized Use of Motor Vehicle,2
78257,Indecent Exposure,1
78257,Manslaughter,1
78257,Murder,1
78257,Protective Order Violation,1
78257,Threats,1
78258,Larceny,233
78258,Drug Arrest,156
78258,TABC-Liquor Law Violation,102
78258,Obstruction of Justice,58
78258,Family Violence,57
78258,Trespassing,41
78258,Panhandling,38
78258,Driving While Intoxicated,33
78258,Assault,22
78258,Traffic Violation,19
78258,Burglary Vehicle,16
78258,Fraud,15
78258,Weapon Violation,14
78258,Vandalism,13
78258,Aggravated Assault,6
78258,Aggravated Family Violence,6
78258,Threats,6
78258,Injury to a Child,4
78258,Theft of Vehicle,4
78258,Unauthorized Use of Motor Vehicle,4
78258,Injury to Elderly Person,3
78258,Deadly Conduct,2
78258,Aggravated Robbery Business,1
78258,Aggravated Sexual Assault,1
78258,Burglary Building,1
78258,Sexual Assault,1
78259,Drug Arrest,57
78259,Family Violence,33
78259,TABC-Liquor Law Violation,33
78259,Larceny,30
78259,Fraud,14
78259,Obstruction of Justice,13
78259,Assault,7
78259,Panhandling,7
78259,Aggravated Family Violence,5
78259,Trespassing,5
78259,Weapon Violation,4
78259,Aggravated Assault,3
78259,Burglary Vehicle,3
78259,Protective Order Violation,3
78259,Burglary Building,2
78259,Driving While Intoxicated,2
78259,Theft of Vehicle,2
78259,Threats,2
78259,Indecency with a Child,1
78259,Injury to Elderly Person,1
78259,Kidnapping,1
78259,Sexual Assault,1
78259,Traffic Violation,1
78259,Vandalism,1
78260,Drug Arrest,10
78260,Obstruction of Justice,3
78260,Burglary Building,2
78260,Panhandling,2
78260,Family Violence,1
78260,Fraud,1
78260,TABC-Liquor Law Violation,1
78261,Drug Arrest,1
78264,Drug Arrest,11
78264,TABC-Liquor Law Violation,3
78264,Family Violence,2
78264,Trespassing,2
78264,Obstruction of Justice,1
78264,Panhandling,1
78264,Theft of Vehicle,1
78266,Larceny,93
78266,Panhandling,30
78266,Drug Arrest,20
78266,TABC-Liquor Law Violation,6
78266,Family Violence,5
78266,Robbery Business,5
78266,Traffic Violation,4
78266,Trespassing,3
78266,Assault,2
78266,Burglary Vehicle,2
78266,Driving While Intoxicated,1
78266,Fraud,1
78266,Indecent Exposure,1
78266,Injury to Elderly Person,1
78266,Obstruction of Justice,1
78266,Stalking,1
78266,Theft of Vehicle,1
78266,Unauthorized Use of Motor Vehicle,1
78288,Drug Arrest,2
78288,Driving While Intoxicated,1
78288,Weapon Violation,1
78648,Panhandling,1
